StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,year,vegan,lactose_intolerant,DairyPro_1,DairyPro_2,DairyCon_1,DairyCon_2,DairyPic_1,DairyPic_2,PlantPro _1,PlantPro _2,PlantCon_1,PlantCon_2,PlantPic_1,PlantPic_2,Ethicalconsid._1,FL_4_DO,FL_5_DO,FL_6_DO
4/24/23 18:50,4/24/23 18:50,IP Address,131.229.238.184,100,32,TRUE,4/24/23 18:50,R_uaZ3ayc9nmnT2WR,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,2,1,,,,,,,3,FL_5,DN,
4/25/23 8:01,4/25/23 8:02,IP Address,104.28.39.129,100,24,TRUE,4/25/23 8:02,R_3PofyXplQu8VcGp,,,,,40.7123,-74.0068,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,1,,3,FL_6,,PN
4/25/23 8:20,4/25/23 8:20,IP Address,131.229.235.177,100,35,TRUE,4/25/23 8:20,R_2uxsrGzxiIerxup,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,3,3,2,FL_6,,PN
4/25/23 8:26,4/25/23 8:26,IP Address,131.229.144.51,100,43,TRUE,4/25/23 8:26,R_2pWV3fjq4ZxPazN,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,5,1,,,,,,,3,FL_5,DN,
4/25/23 8:49,4/25/23 8:50,IP Address,131.229.194.121,100,54,TRUE,4/25/23 8:50,R_3LgVvkNmeidDUNK,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,3,1,,,,,,,,,3,FL_5,DC,
4/25/23 8:56,4/25/23 8:57,IP Address,131.229.195.137,100,41,TRUE,4/25/23 8:57,R_3JKP42eOtAxWd1o,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,,,1,1,,,,,2,FL_6,,PP
4/25/23 8:58,4/25/23 8:59,IP Address,131.229.115.192,100,57,TRUE,4/25/23 8:59,R_3m1WJ5mTiVHPSAP,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,2,1,,,,,,,,,,,4,FL_5,DP,
4/25/23 8:59,4/25/23 9:00,IP Address,131.229.46.8,100,52,TRUE,4/25/23 9:00,R_3CH34nwfhMNoxmS,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,3,4,,,4,FL_6,,PC
4/25/23 9:00,4/25/23 9:00,IP Address,131.229.47.163,100,27,TRUE,4/25/23 9:00,R_2dRbJUiHLVd9RZm,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,Yes,,,,,,,3,2,,,,,2,FL_6,,PP
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.159.157,100,53,TRUE,4/25/23 9:01,R_umnboD2plZ6o4b7,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,4,2,,,,,,,,,2,FL_5,DC,
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.116.142,100,65,TRUE,4/25/23 9:01,R_1GHodjRxXLsovJ2,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,3,2,,,3,FL_6,,PC
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.115.192,100,23,TRUE,4/25/23 9:01,R_AnUUezqWUId4AYV,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,3,2,,,,,,,3,FL_5,DN,
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.239.217,100,37,TRUE,4/25/23 9:01,R_2rpjLrks0DgvbGq,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,1,1,,,,,,,,,,,1,FL_5,DP,
4/25/23 9:01,4/25/23 9:01,IP Address,131.229.47.70,100,38,TRUE,4/25/23 9:01,R_2eUVegLRhBz9mdJ,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,,1,2,FL_6,,PN
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.110.92,100,77,TRUE,4/25/23 9:02,R_2vZ0eCXx2Zo2S5U,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,1,1,3,FL_6,,PN
4/25/23 9:02,4/25/23 9:03,IP Address,131.229.143.64,100,49,TRUE,4/25/23 9:03,R_3Hh1rGfT1nOkVB6,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,,,2,FL_5,DC,
4/25/23 9:02,4/25/23 9:04,IP Address,131.229.192.41,100,69,TRUE,4/25/23 9:04,R_a8BBePO4D1UEytj,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,4,5,,,4,FL_6,,PC
4/25/23 8:59,4/25/23 9:08,IP Address,131.229.105.247,100,534,TRUE,4/25/23 9:08,R_3IY9swx9qJZlAzh,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,2,,,,,,,,2,FL_5,DN,
4/25/23 9:07,4/25/23 9:08,IP Address,98.237.18.90,100,32,TRUE,4/25/23 9:08,R_270Vu98aFKVZs1v,,,,,40.0958,-77.0345,anonymous,EN,I consent,Other,No,No,,,,,,,,,,,,,3,FL_5,DN,
4/25/23 9:08,4/25/23 9:09,IP Address,131.229.238.49,100,32,TRUE,4/25/23 9:09,R_0JTFFHdjiTcpV6h,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,3,3,,,3,FL_6,,PC
4/25/23 10:05,4/25/23 10:06,IP Address,188.217.55.75,100,23,TRUE,4/25/23 10:06,R_2abiL3ZJqBOSK0r,,,,,43.7891,11.2356,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,,,3,FL_6,,PN
4/25/23 10:44,4/25/23 10:44,IP Address,131.229.237.123,100,27,TRUE,4/25/23 10:44,R_2dBnjcZ5O3n54Vv,,,,,42.3251,-72.6276,anonymous,EN,I consent,Third Year,No,Yes,1,1,,,,,,,,,,,1,FL_5,DP,
4/25/23 11:14,4/25/23 11:15,IP Address,131.229.242.105,100,46,TRUE,4/25/23 11:15,R_81jthmL86TOsvWp,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,4,2,,,,,2,FL_6,,PP
4/25/23 12:29,4/25/23 12:30,IP Address,131.229.143.174,100,68,TRUE,4/25/23 12:30,R_3CDZohNLOibFoWv,,,,,42.3182,-72.6419,anonymous,EN,I consent,Second Year,No,No,,,,,,,1,1,,,,,3,FL_6,,PP
4/25/23 14:05,4/25/23 14:06,IP Address,131.229.233.187,100,32,TRUE,4/25/23 14:06,R_2uQluXlsmUaXxIT,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,2,3,,,,,,,,,,,2,FL_5,DP,
4/25/23 15:40,4/25/23 15:41,IP Address,131.229.113.15,100,33,TRUE,4/25/23 15:41,R_rcmJz9O7ekA5pTP,,,,,42.3251,-72.6276,anonymous,EN,I consent,Third Year,No,No,,,,,2,1,,,,,,,4,FL_5,DN,
4/25/23 17:43,4/25/23 17:43,IP Address,131.229.148.31,100,18,TRUE,4/25/23 17:43,R_3hrRJLnRxauF0eD,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,,,,,,,4,3,2,FL_6,,PN
4/26/23 6:26,4/26/23 6:27,IP Address,131.229.238.205,100,51,TRUE,4/26/23 6:27,R_ZaEKQ2mnygXyyKR,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,2,1,,,,,,,,,3,FL_5,DC,
4/26/23 8:02,4/26/23 8:03,IP Address,131.229.139.179,100,29,TRUE,4/26/23 8:03,R_1IaOYIoaLDviiS7,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,1,1,,,1,FL_6,,PC
